DOCULECT	Concept	FORM
AchuarShiwiar	ALL	ashí,mash
AchuarShiwiar	AND	túrua,túra
AchuarShiwiar	ANIMAL	ikiámia páchim,tángku
AchuarShiwiar	ASH	yukú̃ũ
AchuarShiwiar	AT	-num,-nam
AchuarShiwiar	BACK	tuntúp
AchuarShiwiar	BAD	tunáu,nápchau
AchuarShiwiar	BARK	sáap
AchuarShiwiar	BECAUSE	
AchuarShiwiar	BELLY	wáke
AchuarShiwiar	BERRY	
AchuarShiwiar	BIG	juun,juunt
AchuarShiwiar	BIRD	nanámtin
AchuarShiwiar	BITE	esáitin,sákratin,esákatrin
AchuarShiwiar	BLACK	shuwín,jimpiách,kimpí,jákach,jákich,tuntúru,tuntú
AchuarShiwiar	BLOOD	númpa
AchuarShiwiar	BLOW (OF WIND)	umpuítin
AchuarShiwiar	BONE	kúnch,ukúnch
AchuarShiwiar	BREATHE	mayáiratin
AchuarShiwiar	BURNING	kéektin
AchuarShiwiar	CHILD (YOUNG HUMAN)	úchi
AchuarShiwiar	CLOUD	mukúnit
AchuarShiwiar	COLD (OF WEATHER)	tsetsék
AchuarShiwiar	COME	winítin
AchuarShiwiar	COUNT	nekápmartin
AchuarShiwiar	CUT	charúktin
AchuarShiwiar	DAY (NOT NIGHT)	tsawái
AchuarShiwiar	DIE	jákatin
AchuarShiwiar	DIG	táutin
AchuarShiwiar	DIRTY	kúnta,pakuí,shungkát,yukáip,máatrau,máatramu
AchuarShiwiar	DOG	yãwá̃ã
AchuarShiwiar	DRINK	múrtin,amúrtin,umúrtin
AchuarShiwiar	DRY	mujúkash
AchuarShiwiar	BLUNT	mushúm,mushúmp
AchuarShiwiar	DUST	jũyú̃r,mamúunkat
AchuarShiwiar	EAR	kuwísh
AchuarShiwiar	EARTH (SOIL)	núngka
AchuarShiwiar	EAT	yúwatin
AchuarShiwiar	EGG	nujín,nujínt
AchuarShiwiar	EYE	jĩĩ
AchuarShiwiar	FALL	kákeektin,kakératin
AchuarShiwiar	FAR	arák,téjchau
AchuarShiwiar	FAT (ORGANIC SUBSTANCE)	mácha
AchuarShiwiar	FATHER	apáachir,páachir
AchuarShiwiar	FEAR (BE AFRAID)	sapíjmiatin
AchuarShiwiar	FEATHER	úre
AchuarShiwiar	FEW	untsúrinchu,untsúrinchau
AchuarShiwiar	FIGHT	máaniktin,máaniatin
AchuarShiwiar	FIRE	ji
AchuarShiwiar	FISH	namák
AchuarShiwiar	FIVE	jũ ũwé̃jka mash
AchuarShiwiar	FLOAT	nanáastin
AchuarShiwiar	FLOW	
AchuarShiwiar	FLOWER	yangkúr
AchuarShiwiar	FLY (MOVE THROUGH AIR)	nanámtin
AchuarShiwiar	FOG	yurángkim
AchuarShiwiar	FOOT	náwẽ
AchuarShiwiar	FOUR	chintúk chintúk
AchuarShiwiar	FREEZE	
AchuarShiwiar	GIVE	súsatin
AchuarShiwiar	GOOD	péngker
AchuarShiwiar	GRASS	nupá̃ã
AchuarShiwiar	GREEN	wingkiá,kingkiá
AchuarShiwiar	GUTS	ampúj
AchuarShiwiar	HAIR	intásh
AchuarShiwiar	HAND	ũwé̃j
AchuarShiwiar	HE	ni,áu
AchuarShiwiar	HEAD	múuk
